Items,Next_Items
"2892045", "223377"
"1606369", "3648115"
"3648115", "1606369"
"10501080", "10501087"
"10501087", "10501080"
"10117533", "10188331"
"10188331", "10117533"
"5490735", "5490747"
"5490747", "5490735"
"9723127", "9966658"
"9966658", "9723127"
"10678535", "10679661"
"4544965", "3006995"
"6282151", "6287157"
"6287157", "6282151"
"1723921", "1915263"
"2302455", "2302335"
"11772967", "11772226"
"2449609", "6415537"
"8432269", "1710677"
"1816489", "2775063"
"2775063", "1816489"
"412757", "576817"
"576817", "412757"
"500473", "500468"
"11159553", "11159537"
"2403841", "2403827"
"3481211", "3481217"
"3481217", "3481211"
"2891809", "223377"
"10267848", "12112229"
"1710907", "1710677"
"10167751", "12112229"
"1344691", "1344689, 1378789, 1602273"
"1378789", "1344689, 1344691, 1602273"
"1344689", "1344691, 1378789, 1602273"
"1602273", "1344689, 1344691, 1378789"
"1344689, 1344691", "1378789, 1602273"
"1344689, 1378789", "1344691, 1602273"
"1344691, 1378789", "1344689, 1602273"
"1344689, 1602273", "1344691, 1378789"
"1344691, 1602273", "1344689, 1378789"
"1378789, 1602273", "1344689, 1344691"
"1344689, 1344691, 1378789", "1602273"
"1344689, 1344691, 1602273", "1378789"
"1344689, 1378789, 1602273", "1344691"
"1344691, 1378789, 1602273", "1344689"